id,title,author,location,section,category_name,available,image
2,Exploring the Stars,Frank Brown,"4th floor, 2nd compartment, 7th box",Section-A (Computer Science),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2Bthe%2BStars
3,Journey to Sustainable Living,Heidi Davis,"4th floor, 5th compartment, 8th box",Section-E(BBA/MBA),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2BSustainable%2BLiving
4,History of Modern Physics,Alice Wilson,"4th floor, 3rd compartment, 1st box",Section-E(BBA/MBA),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BModern%2BPhysics
5,Science of Machine Learning,Diana Johnson,"2nd floor, 3rd compartment, 8th box",Section-B(Pharmacy),Fantasy,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Science%2Bof%2BMachine%2BLearning
6,Chronicles of Digital Marketing,Charlie Miller,"4th floor, 1st compartment, 8th box",Section-D(Politics),Business,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2BDigital%2BMarketing
7,Advanced Financial Markets,Judy Brown,"3rd floor, 1st compartment, 6th box",Section-E(BBA/MBA),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BFinancial%2BMarkets
8,Understanding Quantum Mechanics,Diana Miller,"2nd floor, 1st compartment, 6th box",Section-B(Pharmacy)(Pharmacy),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BQuantum%2BMechanics
9,Guide to Ancient Civilizations,Heidi Wilson,"2nd floor, 3rd compartment, 4th box",Section-D(Politics),Research Paper,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Guide%2Bto%2BAncient%2BCivilizations
10,History of the Stars,Judy Smith,"1st floor, 3rd compartment, 2nd box",Section-C (Agriculture),Science and Technology,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2Bthe%2BStars
11,Art of Quantum Mechanics,Bob Brown,"3rd floor, 4th compartment, 2nd box",Section-B(Pharmacy),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Art%2Bof%2BQuantum%2BMechanics
12,Fundamentals of Quantum Mechanics,Heidi Williams,"2nd floor, 2nd compartment, 6th box",Section-A (Computer Science),Fantasy,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Fundamentals%2Bof%2BQuantum%2BMechanics
13,Advanced the Stars,Ivan Taylor,"1st floor, 3rd compartment, 7th box",Section-B(Pharmacy),Science and Technology,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2Bthe%2BStars
14,Advanced Ancient Civilizations,Heidi Wilson,"2nd floor, 1st compartment, 3rd box",Section-A (Computer Science),Self-Help,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Advanced%2BAncient%2BCivilizations
15,Understanding Artificial Intelligence,Bob Wilson,"1st floor, 5th compartment, 1st box",Section-E(BBA/MBA),Programming,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Understanding%2BArtificial%2BIntelligence
16,Exploring the Stars,Eve Miller,"1st floor, 3rd compartment, 6th box",Section-C (Agriculture),Thriller,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Exploring%2Bthe%2BStars
17,Journey to the Stars,Judy Moore,"2nd floor, 5th compartment, 3rd box",Section-C (Agriculture),Self-Help,FALSE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Journey%2Bto%2Bthe%2BStars
18,Chronicles of the Stars,Charlie Davis,"4th floor, 4th compartment, 2nd box",Section-D(Politics),History,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=Chronicles%2Bof%2Bthe%2BStars
19,History of Financial Markets,Charlie Williams,"1st floor, 2nd compartment, 3rd box",Section-B(Pharmacy),Biography,TRUE,https://placehold.co/120x180/E0E7FF/4C51BF?text=History%2Bof%2BFinancial%2BMarkets
